,Original Solving Time,Initial Given Solving Time,Original Iterations,Initial Given Iterations
0,58.767817974090576,52.22586703300476,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3187}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 2981}"
1,68.61126780509949,66.12510395050049,"{'Outer-Iteration': 520, 'Inner(CG)-Iteration': 3987}","{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3891}"
2,47.55629587173462,45.33118796348572,"{'Outer-Iteration': 400, 'Inner(CG)-Iteration': 2704}","{'Outer-Iteration': 360, 'Inner(CG)-Iteration': 2615}"
3,54.71327805519104,60.83205986022949,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3171}","{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3592}"
4,56.78521800041199,47.87515115737915,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3292}","{'Outer-Iteration': 400, 'Inner(CG)-Iteration': 2810}"
5,58.69822096824646,51.38415598869324,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3452}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 2969}"
6,47.80008101463318,45.25221490859985,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 2768}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 2622}"
7,66.37208795547485,58.78693509101868,"{'Outer-Iteration': 520, 'Inner(CG)-Iteration': 3912}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3464}"
8,68.48511290550232,61.873046875,"{'Outer-Iteration': 520, 'Inner(CG)-Iteration': 4073}","{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3671}"
9,53.756266832351685,54.1031768321991,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3161}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3212}"
10,55.342308044433594,52.99401497840881,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3274}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3143}"
11,48.46614193916321,49.544673919677734,"{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 2846}","{'Outer-Iteration': 400, 'Inner(CG)-Iteration': 2918}"
12,67.82552289962769,57.800293922424316,"{'Outer-Iteration': 600, 'Inner(CG)-Iteration': 3987}","{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3421}"
13,65.15995907783508,76.89299702644348,"{'Outer-Iteration': 520, 'Inner(CG)-Iteration': 3897}","{'Outer-Iteration': 560, 'Inner(CG)-Iteration': 4618}"
14,53.42790102958679,55.28892993927002,"{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3181}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3265}"
15,49.6433961391449,47.8427050113678,"{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 2914}","{'Outer-Iteration': 400, 'Inner(CG)-Iteration': 2831}"
